Rank,Directory,URL,DA Rating,Status
1,Apple Maps,https://mapsconnect.apple.com/,100,Not started
2,Foursquare,https://foursquare.com/,92,Not started
3,MapQuest,https://www.mapquest.com/,92,Not started
4,Yell,https://www.yell.com/,91,Not started
5,Patch,https://patch.com/,90,Not started
6,Yellowpages,https://www.yellowpages.com/,90,Not started
7,Here,https://www.here.com/,89,Not started
8,Manta,https://www.manta.com/,88,Not started
9,Merchant Circle,https://www.merchantcircle.com/,87,Not started
10,City Search,http://www.citysearch.com/world,86,Not started
11,Super Pages,https://www.superpages.com/,86,Not started
12,TomTom,https://www.tomtom.com/,85,Not started
13,Yellowbook,https://www.yellowbook.com/,85,Not started
14,Kayak,https://www.kayak.com/,83,Not started
15,Justdial,https://www.justdial.com/,82,Not started
16,Local.com,http://www.local.com/,82,Not started
17,True Local,https://www.truelocal.com.au/,82,Not started
18,DemandForce,https://www.demandforce.com/,81,Not started
19,Chamber of Commerce,https://www.chamberofcommerce.com/members/add-business,80,Not started
20,WhitePages,https://www.whitepages.com/,80,Not started
21,Zoominfo,https://www.zoominfo.com/,80,Not started
22,2 Find Local,https://www.2findlocal.com/,78,Not started
23,BrownBook,http://www.brownbook.net/,78,Not started
24,City Squares,https://citysquares.com/,78,Not started
25,Frommer's,https://www.frommers.com/,78,Not started
26,Three Best Places,https://threebestrated.com/,78,Not started
27,DandDB,https://www.dandb.com/,79,Not started
28,Dexknows,https://www.dexknows.com/,79,Not started
29,Insider Pages,http://www.insiderpages.com/,79,Not started
30,EZlocal,https://ezlocal.com/,79,Not started
31,Yellowbot,https://www.yellowbot.com/,76,Not started
32,eBusiness Pages,https://ebusinesspages.com/,75,Not started
33,Factual,https://www.factual.com/,75,Not started
34,Wellness.com,https://www.wellness.com/,75,Not started
35,AmericanTowns,https://www.americantowns.com/,74,Not started
36,Community Walk,https://www.communitywalk.com/,73,Not started
37,Infobel,https://www.infobel.com/,74,Not started
38,USCity.net,https://uscity.net/,74,Not started
39,InfoUSA,https://www.infousa.com/,73,Not started
40,Judy's Book,https://www.judysbook.com/,74,Not started
41,Lacartes,http://www.lacartes.com/,72,Not started
42,N49,https://www.n49.com/,72,Not started
43,Neustar Localeze,https://www.neustarlocaleze.biz/,73,Not started
44,Tupalo,http://tupalo.com/,73,Not started
45,Cylex US,https://www.cylex.us.com/,71,Not started
46,Call Up Contact,https://www.callupcontact.com/active/register/register.php?,71,Not started
47,Sales Spider,https://www.salespider.com/,71,Not started
48,Spoke,http://www.spoke.com/,73,Not started
49,Tuugo,https://www.tuugo.us/,72,Not started
50,Ziplocal,https://ziplocal.com/,77,Not started
51,411.com,https://www.411.com/,70,Not started
52,Jayde,https://jayde.com/,69,Not started
53,B2BYellowPages,https://www.b2byellowpages.com/,69,Not started
54,iBegin,https://www.ibegin.com/,77,Not started
55,BBB.org,https://www.bbb.org/,,Not started
